ts,symbol,timeframe,open,high,low,close,volume
2026-01-01T00:00:00Z,BTC/USDT,1m,100,101,99,100,10
2026-01-01T00:01:00Z,BTC/USDT,1m,100,103,100,102,12
2026-01-01T00:02:00Z,BTC/USDT,1m,102,105,101,104,14
2026-01-01T00:03:00Z,BTC/USDT,1m,104,107,103,106,15
2026-01-01T00:04:00Z,BTC/USDT,1m,106,108,104,105,12
2026-01-01T00:05:00Z,BTC/USDT,1m,105,106,101,102,16
2026-01-01T00:06:00Z,BTC/USDT,1m,102,103,98,99,18
2026-01-01T00:07:00Z,BTC/USDT,1m,99,100,95,96,20
2026-01-01T00:08:00Z,BTC/USDT,1m,96,99,94,98,18
2026-01-01T00:09:00Z,BTC/USDT,1m,98,103,97,102,15
2026-01-01T00:10:00Z,BTC/USDT,1m,102,106,101,105,14
2026-01-01T00:11:00Z,BTC/USDT,1m,105,109,104,108,13
